"firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"SAFRAN",23,"Industrie Aéronautique, Aérospatial",2.33,"Anglais, AWS, Bases de donnée, collecte de données, Communication, Curiosité, Deep Learning, équipe, Excel, Git, modélisation, NLP, Optimisation, Power BI, Prévision, Programmation, Python, Rapport, Reporting, Rigueur, SQL, Statistique, Tableau, Visualisation de donnée",NA,"77"
"ORANO",10,"Secteur Energie, Environnement",0.67,"Autonome, Autonôme, Azure, C++, Collaboration, Communication, Deep Learning, équipe, Git, Intelligence artificielle, modélisation, Optimisation, Python, Rapport, Statistique",NA,"26"
"CDISCOUNT",4,"Distribution, Commerce de gros",1,"Bases de donnée, Communication, Deep Learning, équipe, Power BI, Reporting, SQL, Statistique",NA,"33"
"DOCAPOSTE",4,"Secteur informatique, ESN",1,"Collaboration, Créativité, Deep Learning, équipe, Git, Intelligence artificielle, Optimisation, Statistique",NA,"69"
"LHH RECRUITMENT SOLUTIONS",3,"Services aux Entreprises",7,"Anglais, Autonome, Autonôme, Bases de donnée, Collaboration, Communication, Deep Learning, équipe, Excel, Optimisation, Statistique, Tableau",40000,"33"
"ASSURANCES CRÉDIT MUTUEL  GIE",1,"Banque, Assurance, Finance",NA,"",50000,"67"
"TEAM.IS",5,"Secteur informatique, ESN",1,"équipe, Git, Power BI",60000,"33"
"AKKODIS",2,"Secteur informatique, ESN",1,"",35000,"63"
"REACTIS SERVICES",3,"Secteur informatique, ESN",1,"Reporting",45000,"94"
"SOLUTEC",2,"Secteur informatique, ESN",NA,"équipe, modélisation, Power BI, Python, Tableau",NA,"31"
"GROUPE DUBREUIL",2,"Distribution, Commerce de gros",0,"Deep Learning, équipe, Optimisation, Résolution de Problèmes",NA,"85"
"SII ILE DE FRANCE",6,"Secteur informatique, ESN",7,"Autonome, Autonôme, Bases de donnée, Créativité, équipe, modélisation, Statistique",35000,"76"
"DAVIDSON CONSULTING",10,"Secteur informatique, ESN",1,"équipe, Hadoop, Optimisation, Reporting, SQL",34000,"35"
"ENGIE",10,"Secteur Energie, Environnement",0,"Anglais, Autonome, Autonôme, AWS, Collaboration, Communication, Communication Skills, Curiosité, Data Cleaning, Data Visualization, Database, Database Management, English, équipe, Excel, French, Git, Optimization, Prévision, Programmation, Programming, Python, Rapport, Reporting, Résolution de Problèmes, Rigueur, Spark, SQL, Statistical Modeling, Statistique, Time Management",NA,"92"
"GUEUDET 1880",1,"Industrie Auto, Meca, Navale",NA,NA,NA,"80"
"ABYLSEN",5,"Secteur informatique, ESN",1,"AWS, Collaboration, Deep Learning, équipe, Rapport, Statistique",35000,"13"
"SHOPOPOP",1,"Services aux Personnes, Particuliers",1,"",37000,"44"
"AG2R LA MONDIALE",3,"Banque, Assurance, Finance",1,"Autonome, Autonôme, équipe, modélisation, SQL, Statistique",NA,"75"
"APSIDE",12,"Secteur informatique, ESN",5,"Anglais, AWS, Bases de donnée, équipe, Git, Intelligence artificielle, modélisation, Power BI, Python, Reporting, Spark, SQL",40000,"6"
"FNAC DARTY",7,"Distribution, Commerce de gros",0,"collecte de données, équipe, Git, Google Cloud, Optimisation, Python, SQL",NA,"94"
"ADHERENCE CONSULTING",2,"Secteur informatique, ESN",7,"Bases de donnée, Git, Statistique",NA,"59"
"SAUR",3,"Secteur Energie, Environnement",4,"Anglais, Autonome, Autonôme, Azure, Deep Learning, équipe, modélisation, NLP, Optimisation, Plotly, Python, Rigueur, Spark, SQL, Statistique",NA,"75"
"AXA EN FRANCE",16,"Banque, Assurance, Finance",2,"Azure, Collaboration, data collection, Database, équipe, Excel, Git, modélisation, Optimisation, Programmation, Programming, Python, Spark, SQL, Tableau",NA,"92"
"CARREFOUR",21,"Distribution, Commerce de gros",0,"Anglais, Autonome, Autonôme, Base de donnée, Bases de donnée, Collaboration, Communication, Curiosité, équipe, Excel, Français, Gestion de Projets, Git, Google Cloud, modélisation, Optimisation, Prévision, Python, R Studio, Rapport, Reporting, Rigueur, Spark, SQL, Statistique, Tableau",NA,"91"
"VIF",2,"Industrie Agro-alimentaire, Secteur informatique, ESN",7,"Collaboration, équipe",NA,"44"
"ANDERSON RH",1,"Services aux Entreprises",1,"",NA,NA
"SNCF CONNECT & TECH",4,"Média, Internet, Communication, Transport, Logistique",NA,"Autonome, Autonôme, AWS, Collaboration, Deep Learning, équipe, Français, Git, Proactive, Programmation, Python, Rigueur, Statistique",NA,"75"
"SEGULA TECHNOLOGIES",4,"Industrie Auto, Meca, Navale",3.5,"Anglais, Autonome, Autonôme, collecte de données, équipe, Excel, Rapport, Statistique, Tableau",NA,"91"
"BNP PARIBAS",8,"Banque, Assurance, Finance",0,"Adaptabilité, Anglais, Autonome, Autonôme, Bases de donnée, Collaboration, Communication, Créativité, équipe, Français, Git, Hadoop, Intelligence artificielle, modélisation, Optimisation, Programmation, Python, Résolution de Problèmes, Rigueur, Spark, SQL, Statistique, Tableau, TensorFlow",NA,"93"
"SUEZ",10,"Secteur Energie, Environnement",0,"C++, Collaboration, équipe, Excel, Git, Intelligence artificielle, modélisation, Optimisation, Optimization, Programmation, Programming, Python, Statistics, Statistique",NA,"78"
"GROUPEMENT LES MOUSQUETAIRES",4,"Distribution, Commerce de gros",0,"Azure, Deep Learning, équipe, Intelligence artificielle, modélisation, Natural Language Processing, Python, Statistique",25000,"92"
"CDISCOUNT STAGE",3,"Distribution, Commerce de gros",0,"Bases de donnée, Français, Tableau",NA,"33"
"JCDECAUX",6,"Média, Internet, Communication, Industrie Manufacturière",1.75,"Autonome, Autonôme, Collaboration, collecte de données, équipe, Statistique",NA,"92"
"POSTULER",3,"Média, Internet, Communication",3,"équipe, Git",NA,"57"
"EY",8,"Secteur informatique, ESN",3.5,"Anglais, Autonome, Autonôme, Azure, Communication, Deep Learning, équipe, Excel, Français, Git, Hadoop, modélisation, Prévision, Programmation, Python, Rapport, Reporting, Rigueur, Spark, SQL, Statistique, VBA",NA,"92"
"SEYOS",11,"Agriculture, Pêche",1,"AWS, Azure, Base de donnée, Bases de donnée, Collaboration, collecte de données, Deep Learning, équipe, Français, Git, Python, PyTorch, Spark, SQL",49091,"67"
"VOLVO GROUP",5,"Industrie Auto, Meca, Navale",NA,"Anglais, Azure, Collaboration, Communication, Communication Skills, Deep Learning, équipe, Git, Python, SQL, Statistics",NA,"69"
"EASYVISTA",2,"Secteur informatique, ESN",0,"équipe, Français, NLP, Prévision, Python, Statistique",NA,"38"
"FINANCE PEOPLE",1,"Services aux Entreprises",NA,"",45000,"78"
"MAGASINS VERT - POINT VERT",1,"Distribution, Commerce de gros",0,"",NA,"29"
"EQUANS",5,"BTP, Secteur Energie, Environnement",1,"C++, Communication, Curiosité, équipe, Git, Intelligence artificielle, Programmation, Python, PyTorch, TensorFlow",45000,"69"
"EURO-INFORMATION DEVELOPPEMENTS",6,"Banque, Assurance, Finance",NA,"Anglais, Autonome, Autonôme, Base de donnée, Collaboration, Communication, Deep Learning, équipe, Programmation, Python, Reporting, Rigueur, SQL",34000,"67"
"BOUYGUES TELECOM",5,"Industrie high-tech, Telecom",1,"Communication, Curiosité, équipe, Git, Prévision, Python, SQL",NA,"92"
"GENERALI VIE",2,"Banque, Assurance, Finance",0,"",NA,"93"
